Day,Mom (M:V),Ipilov (A:B),Yocuyax (V:B),Kanib (V:M),Aqajoq (V:C),Nitope (A:V)
2,2,,,,,
3,4,,,,,
4,7,1,,,,
5,8,3,,,,
6,8,8,,,,
7,10,9,,,,
8,11,13,,,,
9,12,14,,,,
10,13,14,,,,
11,15,14,,,,
12,15,14,,,,
13,18,15,,,,
14,19,15,,,,
15,20,17,,,,
16,20,19,1,,,
17,22,21,1,,,
18,22,23,1,,,
19,22,25,1,2,1,
20,22,26,1,2,1,
21,22,28,1,2,1,
22,22,29,1,2,2,
23,24,29,1,3,3,
24,24,31,2,3,3,
25,24,32,2,5,3,
26,24,32,2,5,3,
27,24,33,2,5,3,
28,24,33,2,5,3,
29,24,34,2,5,3,1
30,24,36,2,5,3,1
31,24,37,2,5,3,1
32,24,38,2,5,3,1
33,24,39,2,5,3,2
34,24,40,2,5,3,3
35,24,42,2,5,3,3
36,24,42,2,5,3,3
37,24,42,2,5,3,5
38,24,42,2,5,3,6
39,24,44,2,5,4,6
40,24,45,2,5,5,7
41,24,45,2,5,6,9
42,24,50,2,5,6,9
43,24,52,2,5,6,9
44,24,54,2,5,6,9
45,24,56,2,5,6,11
46,24,60,2,5,6,11
47,24,61,2,5,6,12
48,24,61,2,5,6,12
49,24,62,2,5,7,12
50,25,63,2,5,7,12
51,25,67,2,5,7,13
