9591760
Day,Computer Science,Biology,Astrophysics,Visual Arts,Marketing
1,0.004,0.001,0,-0.001,0.006,
2,0.004,0.001,-0.03,0.018,0.018,
3,0.006,0.001,-0.024,0.013,0.02,
4,0.008,-0.001,-0.016,-0.005,0.04,
5,0.008,-0.007,-0.009,-0.003,0.043,
6,0.004,-0.02,0.018,-0.003,0.037,
7,0.004,-0.035,0.034,-0.01,0.047,
8,0.003,-0.033,0.043,-0.013,0.047,
9,0.001,-0.058,0.064,-0.006,0.048,
10,-0.004,-0.05,0.06,0,0.047,
11,-0.019,-0.049,0.064,0.002,0.06,
12,0.021,-0.049,0.023,0.004,0.06,
13,0.02,-0.051,0.029,0.001,0.066,
14,0.02,-0.052,0.029,0.001,0.078,
15,0.019,-0.065,0.041,-0.016,0.098,
16,0.018,-0.08,0.043,0,0.101,
17,0.019,-0.077,0.046,-0.015,0.12,
18,0.019,-0.076,0.042,-0.042,0.153,
19,0.017,-0.077,0.044,-0.046,0.165,
20,0.015,-0.095,0.074,-0.048,0.162,
21,0.014,-0.101,0.088,-0.05,0.163,
22,0.012,-0.118,0.11,-0.044,0.164,
23,0.008,-0.107,0.11,-0.056,0.178,
24,0.016,-0.132,0.134,-0.052,0.168,
25,0.029,-0.129,0.136,-0.041,0.147,
26,0.026,-0.134,0.151,-0.042,0.146,
27,0.03,-0.142,0.152,-0.031,0.14,
28,0.029,-0.171,0.184,-0.033,0.14,
29,0.027,-0.172,0.187,-0.045,0.158,
30,0.04,-0.184,0.194,-0.054,0.16,
31,0.034,-0.165,0.181,-0.05,0.162,
32,0.03,-0.181,0.201,-0.05,0.167,
33,0.031,-0.183,0.201,-0.043,0.166,
34,0.043,-0.183,0.206,-0.052,0.165,
35,0.043,-0.165,0.192,-0.067,0.182,
36,0.044,-0.162,0.191,-0.104,0.216,
37,0.052,-0.169,0.201,-0.122,0.226,
38,0.048,-0.16,0.216,-0.14,0.23,
39,0.042,-0.174,0.24,-0.136,0.229,
40,0.035,-0.176,0.254,-0.144,0.237,
41,0.039,-0.173,0.258,-0.153,0.238,
42,0.042,-0.178,0.261,-0.165,0.251,
43,0.033,-0.17,0.261,-0.174,0.267,
44,0.041,-0.174,0.256,-0.187,0.28,
45,0.041,-0.186,0.263,-0.181,0.283,
46,0.04,-0.205,0.279,-0.189,0.298,
47,0.042,-0.207,0.285,-0.206,0.319,
48,0.043,-0.205,0.286,-0.235,0.353,
49,0.041,-0.214,0.303,-0.235,0.356,
50,0.058,-0.244,0.317,-0.237,0.36,
51,0.057,-0.255,0.338,-0.242,0.362,
52,0.05,-0.257,0.36,-0.245,0.357,
53,0.045,-0.245,0.361,-0.245,0.353,
